,era_order,classification,values,era_en,era_cn,classification_en
0,1,古遗址,2,Geological age,地质时代,Ancient ruins
1,2,古遗址,38,Paleolithic age,旧石器时代,Ancient ruins
2,3,古遗址,144,Neolithic,新石器时代,Ancient ruins
3,3,古墓葬,3,Neolithic,新石器时代,Ancient tomb
4,3,石窟寺及石刻,3,Neolithic,新石器时代,Cave temple and stone carving
5,4,古墓葬,10,Bronze Age,青铜时代,Ancient tomb
6,4,古遗址,10,Bronze Age,青铜时代,Ancient ruins
7,5,古建筑,2,Xia dynasty,夏,Ancient architecture
8,5,古遗址,2,Xia dynasty,夏,Ancient ruins
9,5,古墓葬,1,Xia dynasty,夏,Ancient tomb
10,6,古遗址,17,Shang dynasty,商,Ancient ruins
11,6,古墓葬,1,Shang dynasty,商,Ancient tomb
12,7,古遗址,72,Zhou dynasty,周,Ancient ruins
13,7,古墓葬,25,Zhou dynasty,周,Ancient tomb
14,7,古建筑,6,Zhou dynasty,周,Ancient architecture
15,7,石窟寺及石刻,4,Zhou dynasty,周,Cave temple and stone carving
16,8,古遗址,8,Qin dynasty,秦,Ancient ruins
17,8,古墓葬,2,Qin dynasty,秦,Ancient tomb
18,8,古建筑,2,Qin dynasty,秦,Ancient architecture
19,9,古遗址,51,Han dynasty,汉,Ancient ruins
20,9,古墓葬,43,Han dynasty,汉,Ancient tomb
21,9,古建筑,16,Han dynasty,汉,Ancient architecture
22,9,石窟寺及石刻,5,Han dynasty,汉,Cave temple and stone carving
23,10,古墓葬,4,Three Kingdoms,三国,Ancient tomb
24,10,石窟寺及石刻,2,Three Kingdoms,三国,Cave temple and stone carving
25,11,古遗址,6,Jin dynasty,两晋,Ancient ruins
26,11,古墓葬,5,Jin dynasty,两晋,Ancient tomb
27,11,石窟寺及石刻,5,Jin dynasty,两晋,Cave temple and stone carving
28,12,石窟寺及石刻,39,Southern and Northern dynasties,南北朝,Cave temple and stone carving
29,12,古遗址,21,Southern and Northern dynasties,南北朝,Ancient ruins
30,12,古墓葬,10,Southern and Northern dynasties,南北朝,Ancient tomb
31,12,古建筑,6,Southern and Northern dynasties,南北朝,Ancient architecture
32,13,古遗址,11,Sui dynasty,隋,Ancient ruins
33,13,石窟寺及石刻,6,Sui dynasty,隋,Cave temple and stone carving
34,13,古建筑,4,Sui dynasty,隋,Ancient architecture
35,13,古墓葬,2,Sui dynasty,隋,Ancient tomb
36,14,古建筑,66,Tang dynasty,唐,Ancient architecture
37,14,石窟寺及石刻,49,Tang dynasty,唐,Cave temple and stone carving
38,14,古遗址,39,Tang dynasty,唐,Ancient ruins
39,14,古墓葬,18,Tang dynasty,唐,Ancient tomb
40,15,古建筑,40,Five Dynasties and Ten Kingdoms,五代十国 ,Ancient architecture
41,15,古遗址,14,Five Dynasties and Ten Kingdoms,五代十国 ,Ancient ruins
42,15,古墓葬,13,Five Dynasties and Ten Kingdoms,五代十国 ,Ancient tomb
43,15,石窟寺及石刻,5,Five Dynasties and Ten Kingdoms,五代十国 ,Cave temple and stone carving
44,16,古建筑,214,Song dynasty,宋,Ancient architecture
45,16,古遗址,39,Song dynasty,宋,Ancient ruins
46,16,石窟寺及石刻,28,Song dynasty,宋,Cave temple and stone carving
47,16,古墓葬,16,Song dynasty,宋,Ancient tomb
48,17,古建筑,131,Yuan dynasty,元,Ancient architecture
49,17,古遗址,16,Yuan dynasty,元,Ancient ruins
50,17,古墓葬,7,Yuan dynasty,元,Ancient tomb
51,17,石窟寺及石刻,7,Yuan dynasty,元,Cave temple and stone carving
52,18,古建筑,365,Ming dynasty,明,Ancient architecture
53,18,古墓葬,25,Ming dynasty,明,Ancient tomb
54,18,古遗址,13,Ming dynasty,明,Ancient ruins
55,18,石窟寺及石刻,9,Ming dynasty,明,Cave temple and stone carving
56,18,其他,6,Ming dynasty,明,others
57,18,近现代重要史迹及代表性建筑,1,Ming dynasty,明,Historical buildings of modern times
58,19,古建筑,241,Qing dynasty,清,Ancient architecture
59,19,近现代重要史迹及代表性建筑,131,Qing dynasty,清,Historical buildings of modern times
60,19,古墓葬,17,Qing dynasty,清,Ancient tomb
61,19,其他,2,Qing dynasty,清,others
62,19,古遗址,2,Qing dynasty,清,Ancient ruins
63,19,石窟寺及石刻,1,Qing dynasty,清,Cave temple and stone carving
64,20,近现代重要史迹及代表性建筑,225,Republic of China,中华民国,Historical buildings of modern times
65,20,古建筑,4,Republic of China,中华民国,Ancient architecture
66,21,近现代重要史迹及代表性建筑,22,Chinese People‘s Republic,中华人民共和国,Historical buildings of modern times
67,21,古墓葬,1,Chinese People‘s Republic,中华人民共和国,Ancient tomb
